010100,PUNCIÓN CISTERNAL SOD,CapItulo 01 SISTEMA NERVIOSO,10101
010101,PUNCION CISTERNAL VIA LATERAL,CapItulo 01 SISTEMA NERVIOSO,10101
010102,PUNCION CISTERNAL VIA MEDIAL,CapItulo 01 SISTEMA NERVIOSO,10102
010103,PUNCION CISTERNAL,CapItulo 01 SISTEMA NERVIOSO,10103
010201,PUNCION (ASPIRACION DE LIQUIDO) VENTRICULAR A TRAVES DE CATETER PREVIAMENTE IMPLANTADO,CapItulo 01 SISTEMA NERVIOSO,10201
010202,PUNCION (ASPIRACION DE LIQUIDO) VENTRICULAR POR TREPANACION (SIN CATETER),CapItulo 01 SISTEMA NERVIOSO,10202
010203,PUNCION (ASPIRACION DE LIQUIDO) VENTRICULAR A TRAVES DE UN RESERVORIO,CapItulo 01 SISTEMA NERVIOSO,10203
010204,PUNCION (ASPIRACION DE LIQUIDO) VENTRICULAR VIA TRANSFONTANELAR,CapItulo 01 SISTEMA NERVIOSO,10204
010205,PUNCION (ASPIRACION DE LIQUIDO) VENTRICULAR,CapItulo 01 SISTEMA NERVIOSO,10205
010901,PUNCION SUBDURAL,CapItulo 01 SISTEMA NERVIOSO,10901
010902,OTRA PUNCION CRANEAL,CapItulo 01 SISTEMA NERVIOSO,10902
011101,BIOPSIAOSEA EN CRANEO POR CRANEOTOMIA,CapItulo 01 SISTEMA NERVIOSO,11101
011102,BIOPSIAOSEA EN CRANEO POR CRANIECTOMIA,CapItulo 01 SISTEMA NERVIOSO,11102
011103,BIOPSIA DE CRANEO,CapItulo 01 SISTEMA NERVIOSO,11103
011201,BIOPSIA DE MENINGE POR CRANEOTOMIA,CapItulo 01 SISTEMA NERVIOSO,11201
011202,BIOPSIA DE MENINGE CEREBRAL,CapItulo 01 SISTEMA NERVIOSO,11202
011301,BIOPSIA CERRADA (PERCUTANEA) (AGUJA) DE CEREBRO,CapItulo 01 SISTEMA NERVIOSO,11301
011302,BIOPSIA ABIERTA (CRANEOTOMIA) DE CEREBRO,CapItulo 01 SISTEMA NERVIOSO,11302
011303,BIOPSIA DE CEREBRO POR TREPANACION,CapItulo 01 SISTEMA NERVIOSO,11303
011306,BIOPSIA DE CEREBRO SUPERFICIAL POR ESTEREOTAXIA,CapItulo 01 SISTEMA NERVIOSO,11306
011307,BIOPSIA DE CEREBRO PROFUNDA POR ESTEREOTAXIA,CapItulo 01 SISTEMA NERVIOSO,11307
012101,CRANEALIZACION DE SENO FRONTAL,CapItulo 01 SISTEMA NERVIOSO,12101
012102,INCISION Y DRENAJE DE SENO FRONTAL,CapItulo 01 SISTEMA NERVIOSO,12102
012103,DESFUNCIONALIZACION DE SENO FRONTAL,CapItulo 01 SISTEMA NERVIOSO,12103
012201,RETIRO O SUSTITUCION DE ELECTRODO CRANEAL PROFUNDO O INTRAPARENQUIMATOSO,CapItulo 01 SISTEMA NERVIOSO,12201
012202,RETIRO O SUSTITUCION DE ELECTRODO EPIDURAL,CapItulo 01 SISTEMA NERVIOSO,12202
012203,RETIRO O SUSTITUCION DE ELECTRODO SUBDURAL,CapItulo 01 SISTEMA NERVIOSO,12203
012204,RETIRO O SUSTITUCION DE ELECTRODO A NERVIO CRANEAL O PERIFERICO,CapItulo 01 SISTEMA NERVIOSO,12204
012205,RETIRO O SUSTITUCION DE NEUROESTIMULADOR INTRACRANEAL,CapItulo 01 SISTEMA NERVIOSO,12205
012206,REVISION DE ELECTRODO CRANEAL PROFUNDO O INTRAPARENQUIMATOSO,CapItulo 01 SISTEMA NERVIOSO,12206
012207,REVISION DE ELECTRODO EPIDURAL,CapItulo 01 SISTEMA NERVIOSO,12207
012208,REVISION DE ELECTRODO SUBDURAL,CapItulo 01 SISTEMA NERVIOSO,12208
012209,REVISION DE ELECTRODO A NERVIO CRANEAL O PERIFERICO,CapItulo 01 SISTEMA NERVIOSO,12209
012210,REVISION DE NEUROESTIMULADOR,CapItulo 01 SISTEMA NERVIOSO,12210
012301,REAPERTURA DE CRANEOTOMIA,CapItulo 01 SISTEMA NERVIOSO,12301
012401,DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL POR CRANEOTOMIA,CapItulo 01 SISTEMA NERVIOSO,12401
012402,DRENAJE DE ESPACIO EPIDURAL FOSA POSTERIOR POR CRANEOTOMIA,CapItulo 01 SISTEMA NERVIOSO,12402
012403,CRANEOTOMIA (DESCOMPRESIVA O EXPLORATORIA),CapItulo 01 SISTEMA NERVIOSO,12403
012410,EXTRACCION DE CUERPO EXTRANO INTRACRANEAL POR CRANEOTOMIA,CapItulo 01 SISTEMA NERVIOSO,12410
012501,SECUESTRECTOMIA DE CRANEO POR CRANIECTOMIA,CapItulo 01 SISTEMA NERVIOSO,12501
012502,DRENAJE DE COLECCION EPIDURAL SUPRATENTORIAL POR CRANIECTOMIA,CapItulo 01 SISTEMA NERVIOSO,12502
012503,DRENAJE DE COLECCION EPIDURAL FOSA POSTERIOR POR CRANIECTOMIA,CapItulo 01 SISTEMA NERVIOSO,12503
012505,CRANIECTOMIA DESCOMPRESIVA BIFRONTAL,CapItulo 01 SISTEMA NERVIOSO,12505
012506,CRANIECTOMIA DESCOMPRESIVA HEMISFERICA,CapItulo 01 SISTEMA NERVIOSO,12506
012507,CRANIECTOMIA DESCOMPRESIVA EN FOSA POSTERIOR,CapItulo 01 SISTEMA NERVIOSO,12507
013101,DRENAJE DE ESPACIO SUBDURAL POR CRANEOTOMIA,CapItulo 01 SISTEMA NERVIOSO,13101
013102,DRENAJE DE ESPACIO SUBDURAL POR TREPANACION,CapItulo 01 SISTEMA NERVIOSO,13102
013103,DRENAJE DE ESPACIO SUBDURAL EN FOSA POSTERIOR POR CRANIECTOMIA,CapItulo 01 SISTEMA NERVIOSO,13103
013104,DRENAJE DE ESPACIO SUBDURAL POR DRENAJE EXTERNO,CapItulo 01 SISTEMA NERVIOSO,13104
013105,DRENAJE DE ESPACIO SUBARACNOIDEO POR DERIVACION CISTO PERITONEAL,CapItulo 01 SISTEMA NERVIOSO,13105
013106,DRENAJE DE ESPACIO SUBDURAL POR DERIVACION SUBDURO PERITONEAL,CapItulo 01 SISTEMA NERVIOSO,13106
013107,INCISION DE MENINGES CEREBRALES,CapItulo 01 SISTEMA NERVIOSO,13107
013110,DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS,CapItulo 01 SISTEMA NERVIOSO,13110
013201,SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) CON ABLACION POR ESTEREOTAXIA,CapItulo 01 SISTEMA NERVIOSO,13201
013202,SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) POR CRANEOTOMIA,CapItulo 01 SISTEMA NERVIOSO,13202
013204,SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) VIA ENDOSCOPICA,CapItulo 01 SISTEMA NERVIOSO,13204
013205,SECCION DEL CUERPO CALLOSO SEGMENTO ANTERIOR (CALLOSOTOMIA) POR CRANEOTOMIA,CapItulo 01 SISTEMA NERVIOSO,13205
013206,SECCION DEL CUERPO CALLOSO SEGMENTO ANTERIOR (CALLOSOTOMIA) VIA ENDOSCOPICA,CapItulo 01 SISTEMA NERVIOSO,13206
013207,SECCION DEL CUERPO CALLOSO SEGMENTO POSTERIOR (CALLOSOTOMIA) POR CRANEOTOMIA,CapItulo 01 SISTEMA NERVIOSO,13207
013208,SECCION DEL CUERPO CALLOSO SEGMENTO POSTERIOR (CALLOSOTOMIA) VIA ENDOSCOPICA,CapItulo 01 SISTEMA NERVIOSO,13208
013209,SECCION COMPLETA DEL CUERPO CALLOSO (CALLOSOTOMIA) POR CRANEOTOMIA,CapItulo 01 SISTEMA NERVIOSO,13209
