59|12|898001
60|12|702201
62|12|908436
64|12|673310
825|40|673310
923|42|673310
67|12|671203
828|40|671203
840|40|997101
81|14|997101
82|14|997102
841|40|997102
845|40|997300
85|14|997106
86|14|997300
87|14|997310
861|40|995199
970|42|697100
102|14|995199
105|14|637300
865|40|637100
110|14|663100
111|14|662200
112|14|663910
190|24|695101
191|24|750201
954|42|721001
955|42|721002
208|25|725100
958|42|735300
959|42|735910
215|25|740100
966|42|740200
967|42|740300
221|26|904903
228|26|906808
229|26|906809
820|40|898001
821|40|702201
823|40|908436
846|40|997310
951|42|995200

